Data with dt = 0.1: (Execution time, Inactivity time)
34.703, 3.00
35.121, 3.00
37.005, 3.00
36.832, 3.00
37.748, 3.00
38.906, 3.00
37.602, 3.00
37.669, 3.00
37.484, 3.00
37.969, 3.00
37.367, 3.00
42.492, 3.00
32.672, 3.00
36.058, 3.00
36.254, 3.00
35.571, 3.00
40.832, 3.00
33.951, 3.00
35.901, 3.00
37.081, 3.00
37.263, 3.00
35.979, 3.00
37.480, 3.00
39.413, 3.00
33.310, 3.00
33.076, 3.00
36.194, -1.00
38.321, 3.00
39.823, 3.00
36.498, 3.00
38.234, 3.00
36.294, -1.00
36.284, -1.00
38.313, 3.00
37.202, 3.00
40.375, 3.00
36.198, 3.00
36.812, 3.00
36.185, 3.00
38.216, 3.00
37.514, 3.00
36.813, 3.00
37.099, 3.00
37.318, 3.00
40.327, 3.00
35.796, -1.00
36.673, 3.00
37.835, 3.00
33.180, 3.00
38.904, 3.00
37.779, 3.00
36.890, 3.00
37.802, 3.00
42.614, 3.00
34.910, 3.00
41.855, 3.00
38.828, 3.00
37.951, 3.00
40.824, 3.00
36.279, -1.00
35.600, 3.00
35.846, 3.00
35.485, 3.00
37.212, 3.00
36.010, 3.00
36.728, 3.00
36.490, 3.00
40.170, 3.00
40.411, 3.00
40.260, 3.00
37.636, 3.00
35.718, -1.00
42.116, 3.00
37.327, 3.00
38.037, 3.00
35.488, 3.00
37.812, 3.00
37.272, 3.00
36.545, -1.00
33.708, 3.00
37.340, 3.00
36.075, -1.00
40.465, 3.00
39.718, 3.00
36.546, 3.00
37.025, 3.00
38.228, 3.00
37.720, 3.00
38.120, 3.00
37.396, 3.00
36.755, 3.00
38.460, 3.00
36.616, 3.00
49.462, 3.00
36.197, 3.00
38.599, 3.00
37.097, -1.00
34.945, -1.00
36.857, 3.00
37.057, 3.00
